url,tld,is_phishing,url_length,num_dashes,num_digits,num_special_chars,path_segments,num_dots,num_underscores,num_dashes_in_hostname,double_slash_in_path,hostname_length,path_length,query_length,registration_time,creation_date,expiration_date,site_age_years,time_to_expire_years,registrar,country_registered,is_registered_in_ar,has_https,has_ssl_cert,iframe_present,insecure_forms,submit_info_to_email,abnormal_form_action,response_time,responds,http_status_code,redirected_url,title,title_length,meta_keywords,category,random_string,sensitive_words_count,embedded_brand_name,https_in_hostname,domain_in_subdomains,domain_in_paths
http://https://pagamento-customerareait.estudiofelli.com.ar/1/arubacheck/,com.ar,True,73,1,1,0,3,3,0,0,True,5,60,0,12.01,2014-02-11T00:00:00,2026-02-10T00:00:00,11.46,0.55,nicar,Desconocido,False,True,True,False,False,False,False,0.482,True,200.0,https://pagamento-customerareait.estudiofelli.com.ar/cgi-sys/suspendedpage.cgi,Account Suspended,17,,otro,False,1,False,False,False,False
http://https://estudiofelli.com.ar/ita1/,com.ar,True,40,0,1,0,2,2,0,0,True,5,27,0,12.01,2014-02-11T00:00:00,2026-02-10T00:00:00,11.46,0.55,nicar,Desconocido,False,True,True,False,False,False,False,0.479,True,200.0,https://estudiofelli.com.ar/cgi-sys/suspendedpage.cgi,Account Suspended,17,,otro,False,1,False,False,False,False
http://https://estudiofelli.com.ar/ita2/,com.ar,True,40,0,1,0,2,2,0,0,True,5,27,0,12.01,2014-02-11T00:00:00,2026-02-10T00:00:00,11.46,0.55,nicar,Desconocido,False,True,True,False,False,False,False,0.36,True,200.0,https://estudiofelli.com.ar/cgi-sys/suspendedpage.cgi,Account Suspended,17,,otro,False,1,False,False,False,False
http://https://www.castelar-digital.com.ar/track?id=f0935e4cd5920aa6c7c996a5ee53a70f&url=http://barchanews.com/1/index.html,com.ar,True,123,1,20,4,2,5,0,0,True,5,35,74,14.01,2012-03-18T17:34:55,2026-03-18T17:34:55,13.36,0.65,PDR Ltd. d/b/a PublicDomainRegistry.com,US,False,True,True,False,False,False,False,0.992,True,200.0,https://www.castelar-digital.com.ar/,Castelar Digital - Siempre buenas noticias!,43,"castelar-digital, castelar, ciudad, barrio, morón, moron, ituzaingo, leloir, partido, agenda, noticias, comercios, policia, farmacias, servicios, arte, cultura, artistas, talleres, deportes, eventos, castelar nuestro lugar",noticias,False,0,False,False,False,False
http://https://bruderconsultores.com.ar/wp1/,com.ar,True,44,0,1,0,2,2,0,0,True,5,31,0,12.1,2014-02-11T00:00:00,2026-03-15T00:00:00,11.46,0.64,nicar,Desconocido,False,True,True,False,False,False,False,0.271,True,503.0,https://bruderconsultores.com.ar/,503 Sitio en mantenimiento,26,,otro,False,0,False,False,False,False
http://https://pagamento-customerarea.bruderconsultores.com.ar/2/arubait-login/,com.ar,True,79,2,1,0,3,3,0,0,True,5,66,0,12.1,2014-02-11T00:00:00,2026-03-15T00:00:00,11.46,0.64,nicar,Desconocido,False,True,True,False,False,False,False,0.269,True,503.0,https://pagamento-customerarea.bruderconsultores.com.ar/,503 Sitio en mantenimiento,26,,otro,False,0,False,False,False,False
http://https://bigbuda.com.ar/js/Galcia,com.ar,True,39,0,0,0,3,2,0,0,True,5,26,0,12.31,2013-09-10T00:00:00,2025-12-30T00:00:00,11.88,0.43,nicar,Desconocido,False,True,True,False,False,False,False,0.821,True,200.0,https://bigbuda.com.ar/,Agencia Digital - Big Buda Marketing - Social Media,51,,otro,False,0,False,False,False,False
http://https://jdcomp.com.ar/Softaccount/Sites/index.html,com.ar,True,57,0,0,0,4,3,0,0,True,5,44,0,11.93,2013-11-13T00:00:00,2025-10-17T00:00:00,11.7,0.23,nicar,Desconocido,False,True,True,False,False,False,False,0.839,True,200.0,https://jdcomp.com.ar/,Index of /,10,,otro,False,0,False,False,False,False
http://https://airservicedg.com.ar/webapp.html,com.ar,True,46,0,0,0,2,3,0,0,True,5,33,0,11.58,2014-03-18T00:00:00,2025-10-14T00:00:00,11.36,0.22,nicar,Desconocido,False,True,True,False,False,False,False,0.71,True,500.0,https://airservicedg.com.ar/,509 Bandwidth Limit Exceeded,28,,otro,False,0,False,False,False,False
http://https://arubait-fatturazione.estudioascuaga.com.ar/rinnovare-2/it/,com.ar,True,73,2,1,0,3,3,0,0,True,5,60,0,11.01,2015-04-07T00:00:00,2026-04-09T00:00:00,10.31,0.7,nicar,Desconocido,False,True,True,False,False,False,False,0.255,True,503.0,https://arubait-fatturazione.estudioascuaga.com.ar/,,0,,otro,False,0,False,False,False,False
